user_id,website,order_datetime,order_id,item_name,asin,quantity,currency,unit_price,item_condition,order_status,category_1
76e70f02cc0835908b4a942e298f4693,Amazon.com,2023-08-31 23:44:31,113-5570709-0529859,"Disney?Pixar's Toy Story 4 Forky 18-Inch Plush, Amazon Exclusive, by Just Play",B07QZ4264S,1,USD,13.99,New,Authorized,Toys & Games
76e70f02cc0835908b4a942e298f4693,Amazon.com,2023-08-31 23:44:31,113-5570709-0529859,Disney Kids Toy Story Backpack Forky Bag For Boys or Girls Blue,B09GYL2T6D,1,USD,17.08,New,Authorized,All Departments
53e2d8b04af73735bd4f4971c51d8362,Amazon.co.uk,2023-08-31 23:39:40,204-9122361-6384348,Burgess Excel Feeding Hay with Dandelion and Marigold 1kg,B07YSH1XCY,1,GBP,4.99,New,Closed,Pet Supplies
53e2d8b04af73735bd4f4971c51d8362,Amazon.co.uk,2023-08-31 23:39:40,204-9122361-6384348,Burgess Excel Nuggets with Mint Adult Rabbit Food 3 kg,B0B7MZK919,1,GBP,7.99,New,Closed,Pet Supplies
cb77e64014dc3911bafbd778f3f75b2a,Amazon.co.uk,2023-08-31 23:38:20,203-8510240-8559532,"Juliyeh (2 pcs) 70mm Stainless Steel Kitchen Sink Strainer Plug Sink Sieve Sink Hole Strainer Drain Protector for Bathroom and Kitchen, Hair Catcher S",B08RCQSJ7N,1,GBP,2.24,New,Closed,Home & Kitchen
e4b4aca0ef9d371380f812c30d0fdf2e,Amazon.co.uk,2023-08-31 23:37:42,206-6975551-4433935,10x1.75 Bent Valve Inner Tube,B004S2RY00,1,GBP,4.99,New,Authorized,Sports & Outdoors
2b10b2e7c853324baa16adbfc51e58a2,Amazon.co.uk,2023-08-31 23:34:15,206-0751417-8936306,Amazon.co.uk Top Up,B08G9L873R,1,GBP,1,New,Closed,All Departments
2b10b2e7c853324baa16adbfc51e58a2,Amazon.co.uk,2023-08-31 23:32:53,206-9417391-1760325,Amazon.co.uk Top Up,B08G9L873R,1,GBP,1,New,Closed,All Departments
256a418876533c398d93b68f50b160be,Amazon.com,2023-08-31 23:25:44,112-7755256-9924260,"Zenwise No Bloat - Probiotics, Digestive Enzymes for Bloating and Gas Relief - Ginger, Dandelion, and Cinnamon to Improve Digestion - Vegan Water Rete",B0BXFPPDFJ,1,USD,29.97,New,Closed,Health
256a418876533c398d93b68f50b160be,Amazon.com,2023-08-31 23:25:44,112-7755256-9924260,"NOW Supplements, Omega-3 Mini Gels, 180 EPA / 120 DHA, Molecularly Distilled, Cardiovascular Support*, 180 Softgels",B003EX82DW,1,USD,11.49,New,Closed,Health
256a418876533c398d93b68f50b160be,Amazon.com,2023-08-31 23:25:44,112-7755256-9924260,"Fiber One 70 Calorie Soft-Baked Bars, Cinnamon Coffee Cake, 18 ct",B0B1S75QDX,1,USD,5.97,New,Closed,Grocery & Gourmet Food
256a418876533c398d93b68f50b160be,Amazon.com,2023-08-31 23:25:44,112-7755256-9924260,Alpha Lipoic Acid 600mg | 240 Capsules | with Biotin Optimizer | Non-GMO and Gluten Free Supplement | by Horbaach,B09KS6LLLD,1,USD,19.99,New,Closed,Health
256a418876533c398d93b68f50b160be,Amazon.com,2023-08-31 23:25:44,112-7755256-9924260,"Lions Mane Mushroom Extract | 4200mg | 120 Capsules | Vegetarian, Non-GMO, Gluten Free Supplement | by Horbaach",B08HLFVRB9,1,USD,17.39,New,Closed,Health
256a418876533c398d93b68f50b160be,Amazon.com,2023-08-31 23:25:44,112-7755256-9924260,"Black Seed Oil 2000mg | 120 Softgel Capsules | Cold Pressed Nigella Sativa Pills | Non-GMO, Gluten Free Supplement | by Horbaach",B07JNFZH3X,1,USD,15.49,New,Closed,Health
256a418876533c398d93b68f50b160be,Amazon.com,2023-08-31 23:25:44,112-7755256-9924260,ChapStick Lip Balm,B06Y8ZS45X,1,USD,3.18,New,Closed,Health
256a418876533c398d93b68f50b160be,Amazon.com,2023-08-31 23:25:44,112-7755256-9924260,"NOW Supplements, Super Enzymes, Formulated with Bromelain, Ox Bile, Pancreatin and Papain, Super Enzymes,90 Capsules",B0001T0GAE,1,USD,14.6,New,Closed,Health
256a418876533c398d93b68f50b160be,Amazon.com,2023-08-31 23:25:44,112-7755256-9924260,"Solgar L-Glutamine 1000 mg, 60 Tablets - Natural Muscle Food - Promotes Gastrointestinal (GI) Health - Supports Brain Health - Non-GMO, Vegan, Gluten ",B003HL541O,1,USD,13.42,New,Closed,Health
1290053b6d883b198f47ce0f5c1d1389,Amazon.com,2023-08-31 23:19:35,113-5152941-5428265,"SanDisk 128GB Ultra microSDXC UHS-I Memory Card with Adapter - Up to 140MB/s, C10, U1, Full HD, A1, MicroSD Card - SDSQUAB-128G-GN6MA",B0B7NTY2S6,1,USD,11.99,New,Closed,Stationery & Office Supplies
dfe0c24b455e3321b520424668f8b535,Amazon.co.uk,2023-08-31 23:17:13,204-9488845-7136332,HealthAid Gastone - 60 Capsules,B002EDNYY0,1,GBP,5.79,New,Authorized,Health & Personal Care
307690c2511e37ff9c9a9cef55f05c8b,Amazon.com,2023-08-31 23:11:17,114-9700300-6231408,Sega Genesis Power cord supply adapter for Genesis 1 power supply SEGA CD NES PC Engine TurboGrafx Neo Geo AES 9V 10V Original wall oem power adapter ,B082TXYS1C,1,USD,17.99,New,Closed,Video Games
620607f9a21b377ba19d0a7ba1c3d580,Amazon.co.uk,2023-08-31 23:05:59,206-9055213-5885964,Anal Toys Vibrating Butt Plug for Men Gay Male Sex Toys Prostate Massager Anal Plug APP Remote Control Vibrator with Cock Ring Adult Toys Sex Toys4couples Men & Women Thrusting Dildo Buttplug,B0BK886VNK,1,GBP,28.95,New,Authorized,Health & Personal Care
3c09ee632d8e322ab84e9a9e10982851,Amazon.co.uk,2023-08-31 22:58:04,026-8876498-8356322,Clinique Happy Eau De Perfume Spray 100ml,B004X892NG,1,GBP,25.18,New,Authorized,Beauty
f8d73b73bfa13017b5cc8e2434712d47,Amazon.com,2023-08-31 22:48:34,112-8307877-8637869,"Lansinoh Stay Dry Disposable Nursing Pads, Soft and Super Absorbent Breast Pads, Breastfeeding Essentials for Moms, 200 Count",B06XPHR7DF,1,USD,19.89,New,Closed,Baby
2182ecd627b63856a1db181a62d2758a,Amazon.co.uk,2023-08-31 22:47:46,203-0096478-2863561,WILKINSON SWORD - Extra 2 For Men | Sensitive | 20 x Disposable Razors (Packaging may differ),B0014YDJ1S,1,GBP,5.5,New,Authorized,Health & Personal Care
eaee1800fc3d39afa40192aed7d7f94c,Amazon.co.uk,2023-08-31 22:44:51,203-6882146-1739563,"Gourmet Perle Adult Wet Cat Food Chef's Collection in Gravy with Duck, Lamb, Chicken, Turkey 96 x 85g Packs",B06XDLN8JY,0,GBP,32.99,New,Cancelled,Pet Supplies
